global_rate_negative_words,title_subjectivity,title_sentiment_polarity,shares,shares_2,shares_4,data_channel_encoded,num_tokens_title,num_tokens_content,links_to_words_ratio,images_to_words_ratio,videos_to_words_ratio,weekday,is_weekend
0.02449,0.25,0.25,1600,1,medium,1,6,171,0.029239766081871343,0.017543859649122806,0.005847953216374269,0,0
0.003745,0.0,0.0,1500,1,medium,5,10,80,0.05,0.0125,0.0,1,0
0.019608,0.0,0.0,1400,0,medium,5,14,388,0.020618556701030927,0.002577319587628866,0.0,1,0
0.011952,0.0,0.0,1300,0,medium,5,6,235,0.01702127659574468,0.00425531914893617,0.0,1,0
0.034946,0.0,0.0,3000,1,medium,0,9,243,0.024691358024691357,0.037037037037037035,0.0,1,0
0.024045,0.666667,-0.33333,1600,1,medium,1,11,225,0.035555555555555556,0.0044444444444444444,0.0,1,0
0.005556,0.0,0.0,1300,0,medium,3,9,229,0.017467248908296942,0.004366812227074236,0.0,1,0
0.026052,0.4,-0.15,2000,1,medium,5,11,113,0.23008849557522124,0.07079646017699115,0.0,1,0
0.021672,0.066667,0.033333,2100,1,medium,3,8,649,0.01386748844375963,0.004622496147919877,0.0015408320493066256,1,0
0.01828,0.357143,0.0,1100,0,medium,1,9,157,0.07006369426751592,0.006369426751592357,0.0,1,0
0.007042,0.0,0.0,10100,1,high,1,6,496,0.018145161290322582,0.008064516129032258,0.0,1,0
0.018832,0.0,0.0,1400,0,medium,1,8,332,0.024096385542168676,0.0030120481927710845,0.0,1,0
0.015707,0.513636,0.221591,1500,1,medium,2,7,917,0.020719738276990186,0.022900763358778626,0.0,1,0
0.023256,0.3,0.2,1900,1,medium,5,9,131,0.061068702290076333,0.007633587786259542,0.0,1,0
0.013158,0.0,0.0,733,0,low,1,9,1048,0.0019083969465648854,0.0009541984732824427,0.0009541984732824427,1,0
0.016866,0.0,0.0,1000,0,medium,0,12,367,0.010899182561307902,0.1362397820163488,0.0027247956403269754,1,0
0.045833,0.0,0.0,2500,1,medium,1,8,283,0.014134275618374558,0.007067137809187279,0.0,1,0
0.014706,0.0,0.0,4300,1,high,4,12,223,0.03139013452914798,0.008968609865470852,0.0,1,0
0.016241,0.441667,0.0,2600,1,medium,5,7,139,0.05755395683453238,0.05755395683453238,0.007194244604316547,1,0
0.026087,0.0,0.0,1400,0,medium,5,10,207,0.014492753623188406,0.004830917874396135,0.0,1,0
0.018771,0.577778,-0.21667,994,0,medium,2,7,289,0.020761245674740483,0.0034602076124567475,0.0,1,0
0.0,0.0,0.0,1000,0,medium,1,9,962,0.0010395010395010396,0.0010395010395010396,0.0,1,0
0.022965,0.0,0.0,914,0,low,0,6,200,0.075,0.01,0.0,1,0
0.018904,1.0,-0.8,1400,0,medium,5,12,568,0.045774647887323945,0.022887323943661973,0.0,1,0
0.01278,0.5,0.5,1600,1,medium,5,8,67,0.07462686567164178,0.05970149253731343,0.1044776119402985,1,0
0.021844,0.0,0.0,3300,1,medium,5,9,908,0.04405286343612335,0.004405286343612335,0.0,1,0
0.024176,0.4,-0.4,1200,0,medium,2,8,101,0.48514851485148514,0.22772277227722773,0.0,1,0
0.018182,0.77,-0.17,1900,1,medium,1,10,593,0.006745362563237774,0.0016863406408094434,0.0,1,0
0.021053,0.2,0.3,1900,1,medium,2,10,3064,0.0016318537859007832,0.00293733681462141,0.0,1,0
0.027314,1.0,0.25,4600,1,high,0,13,211,0.21800947867298578,0.004739336492890996,0.0,1,0
0.016227,0.7,-0.4,24700,1,high,2,10,850,0.07294117647058823,0.0035294117647058825,0.001176470588235294,1,0
0.013804,0.0,0.0,2900,1,medium,4,11,126,0.031746031746031744,0.047619047619047616,0.0,1,0
0.016949,0.0,0.0,1800,1,medium,1,10,140,0.02142857142857143,0.007142857142857143,0.0,1,0
0.013921,0.0,0.0,4100,1,high,5,13,469,0.010660980810234541,0.014925373134328358,0.0021321961620469083,1,0
0.01828,1.0,0.5,671,0,low,3,6,590,0.022033898305084745,0.020338983050847456,0.0,1,0
0.013158,0.0,0.0,4200,1,high,1,10,334,0.011976047904191617,0.0029940119760479044,0.0,1,0
0.014925,0.0,0.0,2200,1,medium,0,5,104,0.16346153846153846,0.14423076923076922,0.009615384615384616,1,0
0.033419,0.433333,-0.16667,1700,1,medium,0,8,84,0.38095238095238093,0.0,0.36904761904761907,1,0
0.013115,0.0,0.0,1700,1,medium,0,7,140,0.22857142857142856,0.007142857142857143,0.014285714285714285,1,0
0.014286,0.238889,0.166667,934,0,low,0,9,96,0.15625,0.020833333333333332,0.010416666666666666,1,0
0.017937,0.0,0.0,7200,1,high,1,11,121,0.01652892561983471,0.008264462809917356,0.0,1,0
0.014706,0.5,0.5,1100,0,medium,5,9,649,0.015408320493066256,0.0015408320493066256,0.0,1,0
0.00738,0.6,0.5,1000,0,medium,2,11,312,0.019230769230769232,0.003205128205128205,0.0,1,0
0.009547,0.727273,0.318182,454,0,very_low,2,9,172,0.01744186046511628,0.005813953488372093,0.0,1,0
0.013323,0.0,0.0,1100,0,medium,5,10,1238,0.0032310177705977385,0.0016155088852988692,0.0,1,0
0.015251,0.0,0.0,1800,1,medium,2,10,217,0.12442396313364056,0.08294930875576037,0.0,1,0
0.008403,0.0,0.0,911,0,low,0,11,393,0.01272264631043257,0.002544529262086514,0.0,1,0
0.010499,0.4,0.4,1400,0,medium,5,7,1272,0.008647798742138365,0.0007861635220125787,0.0,1,0
